event_id,event_date,event_date_precision,state,district,location,latitude,longitude,event_type,severity,source,source_url,confidence
NER_EV_001,2024-07-30,Exact (Day),Kerala / Western Ghats Benchmark (NER Transfer Comparison),Wayanad,Chooralmala - Mundakkai,11.5321,76.1345,Debris Flow / Catastrophic Landslide,Catastrophic (Critical),National Disaster Management Authority (NDMA) & Kerala SDMA Report,https://ndma.gov.in,High (Official Tier 1)
NER_EV_002,2023-10-04,Exact (Day),Sikkim,Mangan / North Sikkim,South Lhonak Lake Outburst & Teesta Valley Slope Collapses,27.6912,88.612,Glacial Lake Outburst Triggered Landslide / Flash Flood Slope Failure,Catastrophic (Critical),Geological Survey of India (GSI) Special Report & NDMA Bulletin,https://gsi.gov.in,High (Official Tier 1)
NER_EV_003,2022-06-30,Exact (Day),Manipur,Noney,Tupul Railway Construction Site,24.8152,93.6421,Massive Slope Failure / Debris Slide,Severe (Critical),Geological Survey of India (GSI) Landslide Inventory,https://gsi.gov.in,High (Official Tier 1)
NER_EV_004,2022-06-17,Exact (Day),Meghalaya,East Khasi Hills,Mawsynram - Cherrapunji Highway Corridor,25.2986,91.5822,Rainfall-Triggered Rockfall & Mudslide,High,Meghalaya State Disaster Management Authority (MSDMA),https://msdma.gov.in,High (Official Tier 1)
NER_EV_005,2024-05-28,Exact (Day),Mizoram,Aizawl,Melthum Stone Quarry Collapse (Cyclone Remal Trigger),23.6921,92.7185,Quarry Wall Collapse & Mudslide,Severe (Critical),Mizoram Disaster Management & Rehabilitation Department,https://dmr.mizoram.gov.in,High (Official Tier 1)
NER_EV_006,2022-05-15,Exact (Day),Assam,Dima Hasao,Haflong Railway Line & Hill Sections,25.1685,93.0182,Widespread Hill Slope Failures & Debris Flows,High,Assam State Disaster Management Authority (ASDMA),https://sdma.assam.gov.in,High (Official Tier 1)
NER_EV_007,2020-06-02,Exact (Day),Assam,Cachar / Hailakandi / Karimganj,Barak Valley Hill Slopes,24.8333,92.7778,Multiple Rainfall-Triggered Mudslides,High,Assam State Disaster Management Authority (ASDMA),https://sdma.assam.gov.in,High (Official Tier 1)
NER_EV_008,2019-07-25,Exact (Day),Arunachal Pradesh,West Kameng,Bhalukpong - Tawang Highway Segment,27.0125,92.641,Rockslide & Highway Blockade,Moderate-High,Border Roads Organisation (BRO) & Arunachal SDMA,https://arunachalpradesh.gov.in,High (Official Tier 1)
NER_EV_009,2023-07-12,Exact (Day),Nagaland,Chümoukedima,Kohima - Dimapur National Highway (NH-29),25.7924,93.7712,Massive Rockfall & Slope Collapse,Severe (Critical),Nagaland State Disaster Management Authority (NSDMA),https://nsdma.nagaland.gov.in,High (Official Tier 1)
NER_EV_010,2021-09-08,Exact (Day),West Bengal (Eastern Himalayas),Darjeeling,Paglajhora - Kalimpong Road Corridor,26.9812,88.2634,Chronic Debris Slide & Subsidence,Moderate-High,Geological Survey of India (GSI) Eastern Region Inventory,https://gsi.gov.in,High (Official Tier 1)
NER_EV_011,2018-06-13,Exact (Day),Tripura,Unakoti,Deomura Hill Slopes,24.2312,92.0154,Rainfall Mudslide,Moderate,Tripura State Disaster Management Authority,https://tdma.tripura.gov.in,High (Official Tier 1)
NER_EV_012,2024-06-16,Exact (Day),Sikkim,Mangan,Sanklang Bridge & Dzongu Slopes,27.5214,88.5412,Monsoon Debris Flow & Bank Failure,Severe (Critical),Sikkim State Disaster Management Authority (SSDMA),https://sikkim.gov.in,High (Official Tier 1)
NER_EV_013,2022-07-00,Month-Year,Meghalaya,South Garo Hills,Baghmara Slope Zone,25.1912,90.6312,Multiple Shallow Soil Slides,Moderate,NASA Global Landslide Catalog (GLC) & Academic Inventory,https://data.nasa.gov/Earth-Science/Global-Landslide-Catalog,Medium (Tier 2)
NER_EV_014,2020-07-00,Month-Year,Arunachal Pradesh,Papum Pare,Itanagar Capital Complex Slopes,27.1012,93.6214,Urban Slope Instability,Moderate-High,Peer-reviewed Himalayan Landslide Study (Springer Journal),https://link.springer.com,Medium (Tier 2)
NER_EV_015,2019-06-00,Month-Year,Mizoram,Lunglei,Hnahthial Highway Corridor,22.9612,92.9314,Debris Flow,Moderate,NASA Global Landslide Catalog (GLC),https://data.nasa.gov,Medium (Tier 2)
