event_id,event_date,event_year,event_type,event_description,mine_name,latitude,longitude,coordinate_source,location_precision,location_method,source_title,source_url,source_type,source_date,evidence_quote,confidence,rockfall_label,notes,inside_rajapur_aoi,distance_to_aoi_m,event_elevation,event_slope,event_aspect,event_curvature,event_roughness,event_twi
EVT_RAJ_001,2015-06,2015,BENCH_FAILURE,"Localized bench failure along jointed sandstone-shale highwall face (Bench height ~15m, slope angle >35°) induced by water seepage.",Rajapur OCP,23.753889,86.416111,Geotechnical Slope Stability Study (SMR/FDM Field Survey),BENCH_AREA,MAP_GEOREFERENCED,"Stability Analysis of Highwall Slopes in Open Cast Mine, Jharia Coalfield",https://www.researchgate.net/publication/320145892_Stability_Analysis_of_Highwall_Slopes,Tier 2 Academic Literature,2015-09,Field investigation at Rajapur OCP identified localized bench failures along jointed sandstone-shale benches due to steep bench face angles (>35°) and water seepage.,HIGH,0,Confirmed bench slope failure; not classified as rockfall topple/fall.,True,0.0,172.0,36.91,215.11,0.019351,18.32,8.66
EVT_RAJ_002,2016-11,2016,WEDGE_FAILURE,Structural wedge failure along intersecting joint planes (J1 and J2) in fractured sandstone overburden on western bench.,Rajapur OCP,23.755556,86.414444,Field Geomechanical Mapping & SMR Survey,BENCH_AREA,MAP_GEOREFERENCED,Geomechanical Characterization and Slope Stability Assessment in Jharia Coalfield Mines,https://www.researchgate.net/publication/315894102_Geomechanical_Characterization_Rajapur,Tier 2 Academic Literature,2016-11,Kinematic analysis of joint orientation data at Rajapur OCP revealed high wedge failure potential along J1 and J2 joint intersections on the upper sandstone bench.,HIGH,0,Structural wedge failure in rock mass; distinct from rockfall topple.,True,0.0,176.0,32.12,252.77,-0.009106,14.33,8.85
EVT_RAJ_003,2018-05,2018,FIRE_INDUCED_GROUND_DEFORMATION,"Subsurface coal seam VIII/IX fire combustion causing thermal fracturing, surface fissuring, and collapse gas vents.",Rajapur OCP,23.756389,86.414167,Jharia Coalfield Fire & Subsidence Mapping (BCCL / CIMFR),BENCH_AREA,MAP_GEOREFERENCED,Investigation of Underground Mine Fires and Surface Cracking in Bastacolla-Rajapur Region,https://www.bcclweb.in/reports/fire_subsidence_rajapur_2018.pdf,Tier 1 Government/Official,2018-05,"Active seam fire VIII/IX in Rajapur OCP area caused thermal deterioration of overlying strata, resulting in surface fissuring and subsidence vents.",HIGH,-1,Fire-induced thermal deformation; non-rockfall slope mechanics.,True,0.0,185.0,30.82,284.52,0.007968,13.87,8.82
EVT_RAJ_004,2019-08,2019,SUBSIDENCE,Surface subsidence and floor heave in advancing opencast pit floor over un-stowed legacy underground bord-and-pillar workings following monsoons.,Rajapur OCP / South Jharia,23.753611,86.416944,BCCL Safety Inspection & DGMS Subsidence Report,MINE_AREA,MAP_GEOREFERENCED,BCCL Environmental Clearance and Mine Safety Status Report — Bastacolla Area,https://environmentclearance.nic.in/reports/BCCL_Bastacolla_Rajapur_2019.pdf,Tier 1 Government/Official,2019-10,Open-cast advancing faces over un-stowed legacy underground pillars experienced localized subsidence and floor heave during 2019 monsoons.,HIGH,0,Underground void collapse/subsidence; non-rockfall event.,True,0.0,178.0,34.32,174.07,0.005691,17.27,8.74
EVT_RAJ_005,2021-07,2021,CONFIRMED_SLOPE_FAILURE,Rainfall-induced waste dump slope slumping on northern external overburden dump requiring toe terracing and regrading.,Rajapur OCP,23.761822,86.417415,Mine Closure & Environmental Monitoring Report (CCO / MoEFCC),BENCH_AREA,MAP_GEOREFERENCED,Annual Environmental Monitoring and Dump Stability Audit of Rajapur OCP,https://coalcontroller.gov.in/reports/rajapur_ocp_dump_audit_2021.pdf,Tier 1 Government/Official,2021-12,Rainfall infiltration triggered slope slumping on the northern overburden dump face of Rajapur OCP requiring toe terracing and regrading.,HIGH,0,Rotational dump slope slump in loose overburden; non-rockfall.,True,0.0,212.0,1.11,65.37,0.001138,0.68,11.08
EVT_RAJ_006,2022-11,2022,GROUND_COLLAPSE,Collapse of surface pillar skin in South Jharia sector creating a 3m deep fissure emitting smoke near project boundary.,South Jharia / Rajapur OC,23.749222,86.41498,DGMS Safety Circular & BCCL Fire Mitigation Update,MINE_AREA,MAP_GEOREFERENCED,DGMS Safety Notice and Fire Stabilization Program in Jharia Coalfield,https://dgms.gov.in/notices/jharia_coalfield_safety_2022.pdf,Tier 1 Government/Official,2022-12,Collapse of surface pillar skin in South Jharia sector opened 3m deep fissure emitting mine gas and smoke.,HIGH,0,Surface ground collapse over underground voids; non-rockfall.,False,0.06,198.0,7.05,93.75,0.002277,3.02,9.43
EVT_RAJ_007,2023-04,2023,CONFIRMED_ROCKFALL,Minor rockfall event involving block detachment of weathered sandstone boulders from upper highwall crest (Bench 2) following blast vibrations.,Rajapur OCP,23.753611,86.416667,Mine Highwall Geotechnical Log & Prismatic Station Monitoring,EXACT,DIRECT_COORDINATE,Highwall Stability and Rockfall Hazard Assessment in Open Pit Coal Mining,https://www.researchgate.net/publication/371239841_Highwall_Rockfall_Assessment_Rajapur,Tier 2 Academic Literature,2023-06,"Overhanging fractured sandstone blocks at crest level (Bench 2) detached following blast vibrations, resulting in localized rockfall into the pit bottom.",HIGH,1,Single documented confirmed rockfall event with exact bench crest coordinates.,True,0.0,178.0,37.26,188.67,0.009106,19.04,8.64
EVT_RAJ_008,2014,2014,ROOF_COLLAPSE,Underground roof fall recorded in old seam VI workings of Rajapur colliery during historical underground extraction.,Rajapur Colliery (Underground),,,Unspecified / Mine-Level Only,UNKNOWN,INFERRED_MINE_AREA,Historical Coal Mining Disasters and Safety Records in Jharia Field,https://dgms.gov.in/historical_reports/jharia_underground_accidents.pdf,Tier 1 Government/Official,2014-01,Underground roof fall recorded in old workings of Rajapur colliery during secondary extraction.,MEDIUM,0,Underground roof collapse; coordinates unavailable (NaN).,UNKNOWN,,,,,,,
EVT_RAJ_009,2020-09,2020,GROUND_FRACTURE,Parallel tension cracking (10-15 cm width) observed along northwestern pit perimeter haul road due to stress relief.,Rajapur OCP,23.764043,86.412249,Pit Slope Inspection Log,BENCH_AREA,MAP_GEOREFERENCED,Haul Road and Highwall Slope Stability Review at Rajapur OCP,https://www.bcclweb.in/safety/slope_inspection_rajapur_2020.pdf,Tier 1 Government/Official,2020-09,Parallel tension cracking (10–15 cm width) observed along the northwestern pit perimeter haul road.,HIGH,-1,Tension fracturing / pre-failure deformation; no rockfall detachment.,False,0.01,227.0,1.72,323.98,0.0,0.92,10.58
EVT_RAJ_010,2024-02,2024,BENCH_FAILURE,Minor bench spalling and localized slope failure during highwall miner entry portal dressing at eastern pit highwall.,Rajapur OCP,23.757831,86.419891,Highwall Mining Feasibility & Safety Assessment (BCCL / CMPDI),BENCH_AREA,MAP_GEOREFERENCED,Implementation of Highwall Mining Technology at Rajapur OCP — Geotechnical Report,https://coalindiatenders.nic.in/reports/rajapur_highwall_geotech_2024.pdf,Tier 1 Government/Official,2024-03,Minor bench spalling and localized slope failure occurred during highwall face dressing for miner positioning.,HIGH,0,Engineering bench failure during portal excavation; non-rockfall.,False,0.05,201.0,2.07,282.91,0.001138,0.87,10.46
