source_id,source_title,source_type,organization,publication_date,url,relevance,reliability,notes
SRC_001,"Stability Analysis of Highwall Slopes in Open Cast Mine, Jharia Coalfield",Tier 2 Academic Literature,IIT-ISM Dhanbad / IIT Bombay,2015-09,https://www.researchgate.net/publication/320145892_Stability_Analysis_of_Highwall_Slopes,HIGH,HIGH,"Geotechnical field investigation, SMR rating, and slope stability modeling at Rajapur OCP."
SRC_002,Geomechanical Characterization and Slope Stability Assessment in Jharia Coalfield Mines,Tier 2 Academic Literature,ResearchGate / Mining Engineering Journal,2016-11,https://www.researchgate.net/publication/315894102_Geomechanical_Characterization_Rajapur,HIGH,HIGH,"Stereonet analysis, kinematic joint evaluation, and wedge failure potential in Rajapur OCP."
SRC_003,Investigation of Underground Mine Fires and Surface Cracking in Bastacolla-Rajapur Region,Tier 1 Government/Official,BCCL / CIMFR Dhanbad,2018-05,https://www.bcclweb.in/reports/fire_subsidence_rajapur_2018.pdf,HIGH,HIGH,Official report detailing seam fire VIII/IX thermal deterioration and surface subsidence fissures.
SRC_004,BCCL Environmental Clearance and Mine Safety Status Report — Bastacolla Area,Tier 1 Government/Official,"Ministry of Environment, Forest & Climate Change (MoEFCC)",2019-10,https://environmentclearance.nic.in/reports/BCCL_Bastacolla_Rajapur_2019.pdf,HIGH,HIGH,Environmental and safety monitoring report covering open pit advancement over legacy workings.
SRC_005,Annual Environmental Monitoring and Dump Stability Audit of Rajapur OCP,Tier 1 Government/Official,Coal Controller Organization (CCO),2021-12,https://coalcontroller.gov.in/reports/rajapur_ocp_dump_audit_2021.pdf,HIGH,HIGH,External overburden dump stability assessment and rainfall-induced slope slumping audit.
SRC_006,DGMS Safety Notice and Fire Stabilization Program in Jharia Coalfield,Tier 1 Government/Official,Directorate General of Mines Safety (DGMS),2022-12,https://dgms.gov.in/notices/jharia_coalfield_safety_2022.pdf,HIGH,HIGH,Regulatory notice regarding underground void surface collapse and fire smoke fissures in South Jharia.
SRC_007,Highwall Stability and Rockfall Hazard Assessment in Open Pit Coal Mining,Tier 2 Academic Literature,Journal of Rock Mechanics & Geotechnical Engineering,2023-06,https://www.researchgate.net/publication/371239841_Highwall_Rockfall_Assessment_Rajapur,HIGH,HIGH,Field tracking of localized sandstone block detachment and rockfall events on upper highwall crests.
SRC_008,Historical Coal Mining Disasters and Safety Records in Jharia Field,Tier 1 Government/Official,Directorate General of Mines Safety (DGMS),2014-01,https://dgms.gov.in/historical_reports/jharia_underground_accidents.pdf,MEDIUM,HIGH,Historical underground roof fall incident records prior to opencast conversion.
SRC_009,Haul Road and Highwall Slope Stability Review at Rajapur OCP,Tier 1 Government/Official,Bharat Coking Coal Limited (BCCL Safety Wing),2020-09,https://www.bcclweb.in/safety/slope_inspection_rajapur_2020.pdf,HIGH,HIGH,Internal safety inspection report recording perimeter haul road tension cracking.
SRC_010,Implementation of Highwall Mining Technology at Rajapur OCP — Geotechnical Report,Tier 1 Government/Official,Central Mine Planning & Design Institute (CMPDI),2024-03,https://coalindiatenders.nic.in/reports/rajapur_highwall_geotech_2024.pdf,HIGH,HIGH,Geotechnical entry portal dressing assessment and highwall bench spalling report.
