event_id,event_date,event_date_precision,state,district,location,latitude,longitude,event_type,severity,source,source_url,source_tier,confidence,coordinate_status,verification_status
NER_EV_001,2024-06-16,Exact Day,Sikkim,Mangan,Sanklang Bridge & Dzongu Slopes,27.5214,88.5412,DEBRIS FLOW,CRITICAL,Sikkim State Disaster Management Authority (SSDMA),https://sikkim.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_002,2023-10-04,Exact Day,Sikkim,Mangan,South Lhonak Lake Outburst & Teesta Valley Slope Failures,27.6912,88.612,SLOPE FAILURE,CRITICAL,Geological Survey of India (GSI) Special Report & NDMA,https://gsi.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_003,2023-06-17,Exact Day,Sikkim,Pakyong,Pakyong Highway & Rorathang Corridor,27.2341,88.5912,LANDSLIDE,HIGH,Sikkim SSDMA Monsoon Report,https://sikkim.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_004,2022-07-11,Exact Day,Sikkim,Gyalshing,Dentam Slopes & Pelling Road,27.2512,88.1345,ROCKFALL,MODERATE,GSI Eastern Region Landslide Bulletin,https://gsi.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_005,2020-07-21,Exact Day,Sikkim,Gangtok,32nd Mile NH-10 Corridor,27.3214,88.6012,DEBRIS SLIDE,HIGH,NDMA National Landslide Strategy Annex,https://ndma.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_006,2018-09-17,Exact Day,Sikkim,Namchi,Jorethang - Namchi Slope Failure,27.1685,88.3512,SLOPE FAILURE,MODERATE,GSI Himalayan Landslide Inventory,https://gsi.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_007,2024-06-18,Exact Day,Meghalaya,East Khasi Hills,Cherrapunji (Sohra) Bypass Road Failure,25.275,91.732,LANDSLIDE,HIGH,Meghalaya State Disaster Management Authority (MSDMA),https://msdma.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_008,2022-06-17,Exact Day,Meghalaya,East Khasi Hills,Mawsynram - Cherrapunji Highway Corridor,25.2986,91.5822,MUDSLIDE,HIGH,Meghalaya MSDMA Incident Bulletin,https://msdma.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_009,2022-06-16,Exact Day,Meghalaya,West Jaintia Hills,Jowai - Ratacherra NH-06 Segment,25.4412,92.2014,ROCKFALL,HIGH,GSI Meghalaya Landslide Mapping,https://gsi.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_010,2021-09-24,Exact Day,Meghalaya,Ri-Bhoi,Umiam Lake NH-08 Highway Slopes,25.6512,91.8912,EARTH SLIDE,MODERATE,Meghalaya MSDMA Annual Report,https://msdma.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_011,2020-05-26,Exact Day,Meghalaya,East Garo Hills,Williamnagar Hill Slopes,25.5312,90.5812,SLOPE FAILURE,MODERATE,MSDMA Disaster Alert Bulletin,https://msdma.gov.in,Tier 1,HIGH,VALID,VERIFIED
NER_EV_012,2019-07-13,Exact Day,Meghalaya,South Garo Hills,Baghmara Border Road Segment,25.1912,90.6312,DEBRIS FLOW,MODERATE,NASA Global Landslide Catalog (GLC),https://data.nasa.gov,Tier 2,MEDIUM,VALID,PARTIALLY_VERIFIED
NER_EV_013,2022-05-15,Exact Day,Assam,Dima Hasao,Haflong Hill Section & Railway Line,25.1685,93.0182,DEBRIS FLOW,CRITICAL,Assam State Disaster Management Authority (ASDMA),https://sdma.assam.gov.in,Tier 1,HIGH,VALID,VERIFIED
